id,img,type,title,actor,score,link,source
0,//puui.qpic.cn/vcover_vt_pic/0/s5gyg482zt8zf5mt1463842969.jpg/220,剧情,袁隆平,主演：果静林 曹艳艳,8.2 ,https://v.qq.com/x/cover/s5gyg482zt8zf5m.html,https://v.qq.com/txp/iframe/player.html?vid=l0026wusow1
1,//puui.qpic.cn/vcover_vt_pic/0/4xf4ni3vwii9kl11506674275/220,剧情,建军大业,主演：刘烨 朱亚文 黄志忠 欧豪 王景春 杨大鹏 霍建华 关晓彤,7.6 ,https://v.qq.com/x/cover/4xf4ni3vwii9kl1.html,https://v.qq.com/txp/iframe/player.html?vid=p00246at0hr
2,//puui.qpic.cn/vcover_vt_pic/0/pv1noxn2wtgzasht1444957124.jpg/220,剧情,赤道,主演：张家辉 张学友 张震 王学圻 池珍熙 崔始源 余文乐 文咏珊,8 ,https://v.qq.com/x/cover/pv1noxn2wtgzash.html,https://v.qq.com/txp/iframe/player.html?vid=q00168qh74n
3,//puui.qpic.cn/vcover_vt_pic/0/piegqd6mz97tr8b1559743696/220,剧情,机械师,主演：杰森・斯坦森 本・福斯特 托尼・戈德温 唐纳德・萨瑟兰 杰夫・蔡斯,8.4 ,https://v.qq.com/x/cover/piegqd6mz97tr8b.html,https://v.qq.com/txp/iframe/player.html?vid=i00227leh0g
4,//puui.qpic.cn/vcover_vt_pic/0/msbt3iret5tgwu81567135959/220,剧情,赌神,主演：周润发 王祖贤 刘德华 张敏,9 ,https://v.qq.com/x/cover/msbt3iret5tgwu8.html,https://v.qq.com/txp/iframe/player.html?vid=m0025c8sgbz
5,//puui.qpic.cn/vcover_vt_pic/0/7hg5nr3x10ingpj1564383305/220,剧情,三生三世十里桃花,主演：刘亦菲 杨洋 罗晋 严屹宽,6.9 ,https://v.qq.com/x/cover/7hg5nr3x10ingpj.html,https://v.qq.com/txp/iframe/player.html?vid=a0024e92mp5
6,//puui.qpic.cn/vcover_vt_pic/0/hu9th0blgco6c891481622249/220,剧情,金陵十三钗,主演：克里斯蒂安・贝尔 佟大为 聂远 窦骁 渡部笃郎 黄海波,8.9 ,https://v.qq.com/x/cover/hu9th0blgco6c89.html,https://v.qq.com/txp/iframe/player.html?vid=h0034diznzc
7,//puui.qpic.cn/vcover_vt_pic/0/3fvg46217gw800n1566963547/220,剧情,流浪地球,主演：屈楚萧 吴京 李光洁 吴孟达 赵今麦,8.9 ,https://v.qq.com/x/cover/3fvg46217gw800n.html,https://v.qq.com/txp/iframe/player.html?vid=h0030qj4fov
8,//puui.qpic.cn/vcover_vt_pic/0/j22edv0k6xtn65p1567580929/220,剧情,毒战,主演：孙红雷 古天乐 黄奕,8.6 ,https://v.qq.com/x/cover/j22edv0k6xtn65p.html,https://v.qq.com/txp/iframe/player.html?vid=u0012k5fks6
9,//puui.qpic.cn/vcover_vt_pic/0/skl46pqqu1e7bmx1567406424/220,剧情,僵尸,主演：钱小豪 陈友 惠英红 楼南光 鲍起静 吴耀汉,8.8 ,https://v.qq.com/x/cover/skl46pqqu1e7bmx.html,https://v.qq.com/txp/iframe/player.html?vid=b0021iwtlcp
10,//puui.qpic.cn/vcover_vt_pic/0/29trop8s2ipr3es1567494088/220,剧情,末代皇帝,主演：尊龙 陈冲 邬君梅,9.4 ,https://v.qq.com/x/cover/29trop8s2ipr3es.html,https://v.qq.com/txp/iframe/player.html?vid=n0029aoeg4q
11,//puui.qpic.cn/vcover_vt_pic/0/3xk72twalaqaku01574761643/220,剧情,鬼吹灯之寻龙诀,主演：陈坤 黄渤 舒淇 Angelababy 夏雨,8.6 ,https://v.qq.com/x/cover/3xk72twalaqaku0.html,https://v.qq.com/txp/iframe/player.html?vid=n0019nf7q8j
12,//puui.qpic.cn/vcover_vt_pic/0/fvqtezz7d8l98ly1566972978/220,剧情,封神传奇,主演：李连杰 范冰冰 黄晓明 古天乐,6.6 ,https://v.qq.com/x/cover/fvqtezz7d8l98ly.html,https://v.qq.com/txp/iframe/player.html?vid=r00213z4sml
13,//puui.qpic.cn/vcover_vt_pic/0/d29dakv9k1xy9p9t1474957822.jpg/220,剧情,使徒行者,主演：张家辉 古天乐 吴镇宇 佘诗曼,8.2 ,https://v.qq.com/x/cover/d29dakv9k1xy9p9.html,https://v.qq.com/txp/iframe/player.html?vid=s00218fstio
14,//puui.qpic.cn/vcover_vt_pic/0/phk4s9bkfs8xdn41560248264/220,剧情,一九四二,主演：张国立 徐帆 张默 陈道明 李倩 冯远征 李雪健 张涵予 范伟 阿德里安・布洛迪 王子文,8.7 ,https://v.qq.com/x/cover/phk4s9bkfs8xdn4.html,https://v.qq.com/txp/iframe/player.html?vid=r0012fmwaf2
15,//puui.qpic.cn/vcover_vt_pic/0/lcewsuqxacvnvh51551083299/220,剧情,廉政风云,主演：刘青云 张家辉 林嘉欣 方中信 袁咏仪,8.1 ,https://v.qq.com/x/cover/lcewsuqxacvnvh5.html,https://v.qq.com/txp/iframe/player.html?vid=g0030fz6dww
16,//puui.qpic.cn/vcover_vt_pic/0/61o608thop3ozt81559740573/220,剧情,新少林寺,主演：刘德华 谢霆锋 成龙 范冰冰,7.8 ,https://v.qq.com/x/cover/61o608thop3ozt8.html,https://v.qq.com/txp/iframe/player.html?vid=8wvgyFD3RpP
17,//puui.qpic.cn/vcover_vt_pic/0/r3m3bpm2cyjpf1e1567586633/220,剧情,英雄本色,主演：狄龙 张国荣 周润发 李子雄,9.2 ,https://v.qq.com/x/cover/r3m3bpm2cyjpf1e.html,https://v.qq.com/txp/iframe/player.html?vid=J0010Jx6aIW
18,//puui.qpic.cn/vcover_vt_pic/0/o2v24no985ntwdo1559739870/220,剧情,宫锁沉香,主演：周冬雨 陈晓 赵丽颖 朱梓骁 包贝尔,7.3 ,https://v.qq.com/x/cover/o2v24no985ntwdo.html,https://v.qq.com/txp/iframe/player.html?vid=n0025ppl6rn
19,//puui.qpic.cn/vcover_vt_pic/0/gz9q7kd8wviwkxv1575449502/220,剧情,你的名字。,新海诚口碑票房双爆神作,9.1 ,https://v.qq.com/x/cover/gz9q7kd8wviwkxv.html,https://v.qq.com/txp/iframe/player.html?vid=m0024nvac3j
20,//puui.qpic.cn/vcover_vt_pic/0/4ins96adw2a5rfv1567562656/220,剧情,精英部队2：大敌当前,主演：瓦格纳・马拉 安德烈・拉米罗 米尔黑・考塔兹 玛利亚・瑞贝罗 伊兰迪尔・桑托斯,9.2 ,https://v.qq.com/x/cover/4ins96adw2a5rfv.html,https://v.qq.com/txp/iframe/player.html?vid=d0028novww9
21,//puui.qpic.cn/vcover_vt_pic/0/wtr1lrmk9w72j6x1555916464/220,剧情,巴霍巴利王：开端,主演：帕拉巴斯 拉纳・达格巴提 安努舒卡・谢蒂 特曼娜・芭蒂亚,8.5 ,https://v.qq.com/x/cover/wtr1lrmk9w72j6x.html,https://v.qq.com/txp/iframe/player.html?vid=y0021n00kgf
22,//puui.qpic.cn/vcover_vt_pic/0/uecexs5vdqcsfkft1444903065.jpg/220,剧情,夺帅,主演：任达华 吴京 恬妞 李修贤 洪金宝,7.9 ,https://v.qq.com/x/cover/uecexs5vdqcsfkf.html,https://v.qq.com/txp/iframe/player.html?vid=v0023g279po
23,//puui.qpic.cn/vcover_vt_pic/0/mzc00200ev63oql1612183781246/220,剧情,顶牛,主演：陈佩斯 陈大愚,7.6 ,https://v.qq.com/x/cover/mzc00200ev63oql.html,https://v.qq.com/txp/iframe/player.html?vid=z003523ai1b
24,//puui.qpic.cn/vcover_vt_pic/0/bok67qa8snhlg0b1569581891/220,剧情,比悲伤更悲伤的故事,主演：陈意涵 刘以豪 张书豪 陈庭妮 吴映洁,7.2 ,https://v.qq.com/x/cover/bok67qa8snhlg0b.html,https://v.qq.com/txp/iframe/player.html?vid=w0030lpmj43
25,//puui.qpic.cn/vcover_vt_pic/0/4myi5m71d14pdmr1541657729/220,剧情,悲伤逆流成河,主演：赵英博 任敏 辛云来 章若楠 朱丹妮,7.8 ,https://v.qq.com/x/cover/4myi5m71d14pdmr.html,https://v.qq.com/txp/iframe/player.html?vid=c00287rxsd1
26,//puui.qpic.cn/vcover_vt_pic/0/luxx8xe8hybi2vp1556009315/220,剧情,一念天堂,主演：沈腾 马丽 杜晓宇 林雪,7.7 ,https://v.qq.com/x/cover/luxx8xe8hybi2vp.html,https://v.qq.com/txp/iframe/player.html?vid=h0019uqnsu2
27,//puui.qpic.cn/vcover_vt_pic/0/we35g3aduiwkudpt1466645487.jpg/220,剧情,大鱼海棠,惊艳中国画风美哭你,8.2 ,https://v.qq.com/x/cover/we35g3aduiwkudp.html,https://v.qq.com/txp/iframe/player.html?vid=u0021lcrkp2
28,//puui.qpic.cn/vcover_vt_pic/0/20lmr7rqqw8hxo31512031990/220,剧情,英雄本色3,主演：周润发 梅艳芳 梁家辉 张可颐 时任三郎,8.5 ,https://v.qq.com/x/cover/20lmr7rqqw8hxo3.html,https://v.qq.com/txp/iframe/player.html?vid=a0017hzacpa
29,//puui.qpic.cn/vcover_vt_pic/0/db2e4g0eyqrenbnt1444814452.jpg/220,剧情,第三种爱情,主演：刘亦菲 宋承宪 欧弟 江语晨,7.4 ,https://v.qq.com/x/cover/db2e4g0eyqrenbn.html,https://v.qq.com/txp/iframe/player.html?vid=a0018b07ptf
30,//puui.qpic.cn/vcover_vt_pic/0/xg95sxi4q7zc4uot1460107848.jpg/220,喜剧,美人鱼,主演：邓超 罗志祥 张雨绮 林允,8.3 ,https://v.qq.com/x/cover/xg95sxi4q7zc4uo.html,https://v.qq.com/txp/iframe/player.html?vid=u0020m5jr73
31,//puui.qpic.cn/vcover_vt_pic/0/ge1vg9evjfeb6l01568013388/220,喜剧,夏洛特烦恼,主演：沈腾 马丽 尹正 王智 艾伦 田雨 宋阳,8.7 ,https://v.qq.com/x/cover/ge1vg9evjfeb6l0.html,https://v.qq.com/txp/iframe/player.html?vid=u0019esirxq
32,//puui.qpic.cn/vcover_vt_pic/0/ujnamwpqg1xg8qm1559139238/220,喜剧,西游・降魔篇,主演：文章 舒淇 黄渤 罗志祥,8.5 ,https://v.qq.com/x/cover/ujnamwpqg1xg8qm.html,https://v.qq.com/txp/iframe/player.html?vid=y0012j6s11e
33,//puui.qpic.cn/vcover_vt_pic/0/b40ff7kummjfp7e1566963062/220,喜剧,澳门风云3,主演：周润发 张家辉 刘德华 张学友 李宇春 刘嘉玲 余文乐,7 ,https://v.qq.com/x/cover/b40ff7kummjfp7e.html,https://v.qq.com/txp/iframe/player.html?vid=w0022h0g5ep
34,//puui.qpic.cn/vcover_vt_pic/0/q8xwiu8yyxahzz8t1453946418.jpg/220,喜剧,功夫熊猫3,主演：杰克・布莱克 詹姆斯・洪 安吉丽娜・朱莉 塞斯・罗根,8.8 ,https://v.qq.com/x/cover/q8xwiu8yyxahzz8.html,https://v.qq.com/txp/iframe/player.html?vid=b00204e4jsv
35,//puui.qpic.cn/vcover_vt_pic/0/msbt3iret5tgwu81567135959/220,喜剧,赌神,主演：周润发 王祖贤 刘德华 张敏,9 ,https://v.qq.com/x/cover/msbt3iret5tgwu8.html,https://v.qq.com/txp/iframe/player.html?vid=m0025c8sgbz
36,//puui.qpic.cn/vcover_vt_pic/0/3v5ksc6jiwskqw41480909679/220,喜剧,倒霉特工熊,主演：汤水雨 杨默,7.1 ,https://v.qq.com/x/cover/3v5ksc6jiwskqw4.html,https://v.qq.com/txp/iframe/player.html?vid=k0022kdpwgl
37,//puui.qpic.cn/vcover_vt_pic/0/xgyd6mjl7vo6kpb1566899623/220,喜剧,爱情公寓,主演：陈赫 袁弘 娄艺潇 邓家佳 孙艺洲 李佳航 李金铭,6.5 ,https://v.qq.com/x/cover/xgyd6mjl7vo6kpb.html,https://v.qq.com/txp/iframe/player.html?vid=l0027c0139f
38,//puui.qpic.cn/vcover_vt_pic/0/qxlvauamtoi399d1567675979/220,喜剧,恐龙王,恐龙父子大冒险,7.7 ,https://v.qq.com/x/cover/qxlvauamtoi399d.html,https://v.qq.com/txp/iframe/player.html?vid=x0029a78drl
39,//puui.qpic.cn/vcover_vt_pic/0/cgeg2g3t7b8gm6l1481535277/220,喜剧,西游・伏妖篇,主演：吴亦凡 林更新 姚晨 王丽坤 林允,7.6 ,https://v.qq.com/x/cover/cgeg2g3t7b8gm6l.html,https://v.qq.com/txp/iframe/player.html?vid=r0023o66yh6
40,//puui.qpic.cn/vcover_vt_pic/0/3o56brnhunm5bwxt1444824302.jpg/220,喜剧,西游记之大圣归来,大圣脱胎换骨惊艳四方,9 ,https://v.qq.com/x/cover/3o56brnhunm5bwx.html,https://v.qq.com/txp/iframe/player.html?vid=x0018dcg7rm
41,//puui.qpic.cn/vcover_vt_pic/0/jpjl78i91mx05bu1509087554/220,喜剧,羞羞的铁拳,主演：艾伦 马丽 沈腾 宋阳 田雨,8.3 ,https://v.qq.com/x/cover/jpjl78i91mx05bu.html,https://v.qq.com/txp/iframe/player.html?vid=m0025mcvah8
42,//puui.qpic.cn/vcover_vt_pic/0/w0p8sj2lhtdup961531896398/220,喜剧,金装鬼打鬼,主演：林正英 楼南光 陈颖芝 金十二 谢伟杰 何沛东,7.8 ,https://v.qq.com/x/cover/w0p8sj2lhtdup96.html,https://v.qq.com/txp/iframe/player.html?vid=f0010yjGaWd
43,//puui.qpic.cn/vcover_vt_pic/0/kep6vp3yaheymko1567406134/220,喜剧,一吻定情,主演：王大陆 林允 陈柏融 蔡思韵 邰智源,7.2 ,https://v.qq.com/x/cover/kep6vp3yaheymko.html,https://v.qq.com/txp/iframe/player.html?vid=g0030phbcgi
44,//puui.qpic.cn/vcover_vt_pic/0/q4enmfhbv50hqnc1568019614/220,喜剧,王牌保镖,主演：塞缪尔・杰克逊 加里・奥德曼 萨尔玛・海耶克 艾洛蒂・袁 瑞恩・雷诺兹,8.4 ,https://v.qq.com/x/cover/q4enmfhbv50hqnc.html,https://v.qq.com/txp/iframe/player.html?vid=q00241tjkny
45,//puui.qpic.cn/vcover_vt_pic/0/5y95zy4idzqf6hc1515143734/220,喜剧,捉妖记2,主演：梁朝伟 白百何 井柏然 李宇春 杨v宁,7.4 ,https://v.qq.com/x/cover/5y95zy4idzqf6hc.html,https://v.qq.com/txp/iframe/player.html?vid=b0026xs9my6
46,//puui.qpic.cn/vcover_vt_pic/0/hdavca20ujfapqy1567073135/220,喜剧,胖子行动队,主演：包贝尔 文章 郭京飞 克拉拉 辣目洋子,7 ,https://v.qq.com/x/cover/hdavca20ujfapqy.html,https://v.qq.com/txp/iframe/player.html?vid=h0029he3ge6
47,//puui.qpic.cn/vcover_vt_pic/0/jnerh30ho8ghhe71556009213/220,喜剧,港,主演：徐峥 赵薇 包贝尔 杜鹃,7.7 ,https://v.qq.com/x/cover/jnerh30ho8ghhe7.html,https://v.qq.com/txp/iframe/player.html?vid=j00196h3mlo
48,//puui.qpic.cn/vcover_vt_pic/0/h05z5bsjxw544er1575449796/220,喜剧,前任3：再见前任,主演：韩庚 郑恺 于文文 曾梦雪 罗米,7.6 ,https://v.qq.com/x/cover/h05z5bsjxw544er.html,https://v.qq.com/txp/iframe/player.html?vid=w00265x48dj
49,//puui.qpic.cn/vcover_vt_pic/0/rtxppsa2dqxd6ok1567664933/220,喜剧,擦枪走火,主演：喻恩泰 倪虹洁 李锐,7 ,https://v.qq.com/x/cover/rtxppsa2dqxd6ok.html,https://v.qq.com/txp/iframe/player.html?vid=z0019zvhrji
50,//puui.qpic.cn/vcover_vt_pic/0/luxx8xe8hybi2vp1556009315/220,喜剧,一念天堂,主演：沈腾 马丽 杜晓宇 林雪,7.7 ,https://v.qq.com/x/cover/luxx8xe8hybi2vp.html,https://v.qq.com/txp/iframe/player.html?vid=h0019uqnsu2
51,//puui.qpic.cn/vcover_vt_pic/0/q36vxbd95odijk11506398254/220,喜剧,缝纫机乐队,主演：大鹏 乔杉 古力娜扎 李鸿其 韩童生 曲隽希,8.2 ,https://v.qq.com/x/cover/q36vxbd95odijk1.html,https://v.qq.com/txp/iframe/player.html?vid=d0025qwwbvp
52,//puui.qpic.cn/vcover_vt_pic/0/uxcy3k044fczp2jt1450859412.jpg/220,喜剧,恶棍天使,主演：邓超 孙俪 代乐乐 梁超 杨新鸣,6.9 ,https://v.qq.com/x/cover/uxcy3k044fczp2j.html,https://v.qq.com/txp/iframe/player.html?vid=o0019h6qllq
53,//puui.qpic.cn/vcover_vt_pic/0/rj5vksslchkvh631565665617/220,喜剧,猪猪侠・不可思议的世界,超萌小猪开启奇幻之旅,7.2 ,https://v.qq.com/x/cover/rj5vksslchkvh63.html,https://v.qq.com/txp/iframe/player.html?vid=p0031z6sgih
54,//puui.qpic.cn/vcover_vt_pic/0/39d0cimjjr9hmd11568114930/220,喜剧,武林怪兽,主演：古天乐 陈学冬 郭碧婷 包贝尔 王太利,6.6 ,https://v.qq.com/x/cover/39d0cimjjr9hmd1.html,https://v.qq.com/txp/iframe/player.html?vid=v00292i4fl2
55,//puui.qpic.cn/vcover_vt_pic/0/xprp6khqsxeq8m21576394631/220,喜剧,美食大冒险之英雄烩,“寿气包”CP闯荡江湖,8.7 ,https://v.qq.com/x/cover/xprp6khqsxeq8m2.html,https://v.qq.com/txp/iframe/player.html?vid=j003359l4mt
56,//puui.qpic.cn/vcover_vt_pic/0/qmefcsfx2vkifaat1444965084.jpg/220,喜剧,功夫之王,主演：成龙 李连杰 刘亦菲 迈克尔・安格拉诺,7.6 ,https://v.qq.com/x/cover/qmefcsfx2vkifaa.html,https://v.qq.com/txp/iframe/player.html?vid=8O933NmPt5v
57,//puui.qpic.cn/vcover_vt_pic/0/1dc6xsgwwa0t98c1547433001/220,喜剧,印度暴徒,主演：阿米尔・汗 卡特莉娜・卡芙 阿米特巴・巴强 劳埃德・欧文 法缇玛・萨那・纱卡,7.8 ,https://v.qq.com/x/cover/1dc6xsgwwa0t98c.html,https://v.qq.com/txp/iframe/player.html?vid=b0029davvsn
58,//puui.qpic.cn/vcover_vt_pic/0/bojb6fxtqh2ekw01566966247/220,喜剧,李茶的姑妈,主演：黄才伦 艾伦 宋阳 卢靖姗 沈腾,7.1 ,https://v.qq.com/x/cover/bojb6fxtqh2ekw0.html,https://v.qq.com/txp/iframe/player.html?vid=l0029su5phq
59,//puui.qpic.cn/vcover_vt_pic/0/6wx9pvukqzx9mkx1543738220/220,喜剧,猛鬼学堂,主演：张学友 许冠英 林忆莲 楼南光,8.1 ,https://v.qq.com/x/cover/6wx9pvukqzx9mkx.html,https://v.qq.com/txp/iframe/player.html?vid=8qHKJCyvYNt
60,//puui.qpic.cn/vcover_vt_pic/0/pv1noxn2wtgzasht1444957124.jpg/220,动作,赤道,主演：张家辉 张学友 张震 王学圻 池珍熙 崔始源 余文乐 文咏珊,8 ,https://v.qq.com/x/cover/pv1noxn2wtgzash.html,https://v.qq.com/txp/iframe/player.html?vid=q00168qh74n
61,//puui.qpic.cn/vcover_vt_pic/0/1bnyfttijufe0cq1567479871/220,动作,战狼,主演：吴京 余男 斯科特・阿特金斯 凯文・李 倪大红,8.3 ,https://v.qq.com/x/cover/1bnyfttijufe0cq.html,https://v.qq.com/txp/iframe/player.html?vid=m0016nwmqws
62,//puui.qpic.cn/vcover_vt_pic/0/xyaud3hk6mmi6ss1513156112/220,动作,追龙,主演：甄子丹 刘德华 郑则仕 姜皓文 刘浩龙,8.5 ,https://v.qq.com/x/cover/xyaud3hk6mmi6ss.html,https://v.qq.com/txp/iframe/player.html?vid=i0025s06fdc
63,//puui.qpic.cn/vcover_vt_pic/0/b40ff7kummjfp7e1566963062/220,动作,澳门风云3,主演：周润发 张家辉 刘德华 张学友 李宇春 刘嘉玲 余文乐,7 ,https://v.qq.com/x/cover/b40ff7kummjfp7e.html,https://v.qq.com/txp/iframe/player.html?vid=w0022h0g5ep
64,//puui.qpic.cn/vcover_vt_pic/0/piegqd6mz97tr8b1559743696/220,动作,机械师,主演：杰森・斯坦森 本・福斯特 托尼・戈德温 唐纳德・萨瑟兰 杰夫・蔡斯,8.4 ,https://v.qq.com/x/cover/piegqd6mz97tr8b.html,https://v.qq.com/txp/iframe/player.html?vid=i00227leh0g
65,//puui.qpic.cn/vcover_vt_pic/0/q8xwiu8yyxahzz8t1453946418.jpg/220,动作,功夫熊猫3,主演：杰克・布莱克 詹姆斯・洪 安吉丽娜・朱莉 塞斯・罗根,8.8 ,https://v.qq.com/x/cover/q8xwiu8yyxahzz8.html,https://v.qq.com/txp/iframe/player.html?vid=b00204e4jsv
66,//puui.qpic.cn/vcover_vt_pic/0/5lmuabxmb5jf1fl1566973938/220,动作,云南虫谷,主演：蔡珩 顾璇 于恒 成泰 马浴柯 陈雨锶,6.5 ,https://v.qq.com/x/cover/5lmuabxmb5jf1fl.html,https://v.qq.com/txp/iframe/player.html?vid=k0029ubkfv0
67,//puui.qpic.cn/vcover_vt_pic/0/hu9th0blgco6c891481622249/220,动作,金陵十三钗,主演：克里斯蒂安・贝尔 佟大为 聂远 窦骁 渡部笃郎 黄海波,8.9 ,https://v.qq.com/x/cover/hu9th0blgco6c89.html,https://v.qq.com/txp/iframe/player.html?vid=h0034diznzc
